
         Dual Mode Scramjet

  N       NA    Nm    cf         Dinj       L
   1221   3     3     0.00300    0.00300    1.220
         Area changes along axis
  xA      theta
  0.000    0.00
  0.390    0.60
  0.990    1.20
         Injections along axis
  xm      psi     y       angle
  0.110   0.50    0.10    80.00
  0.510   0.30    0.40    60.00
  0.810   0.20    0.60    40.00


  x        p           Ma       rho         V          T         F         Tt        Pt          s          a         Ac           A            gamma       mdot       W         G
   0.0970    54320.4   3.1269    0.208340   1854.396    908.78     99.29   2282.75   2815744.5      30.42   593.115   0.00379749   0.00379999   1.3460902    1.46735   28.9200    -58.07385
   0.0980    54350.9   3.1259    0.208370   1854.157    909.16     99.28   2282.74   2812668.9      30.72   593.239   0.00379743   0.00379999   1.3460588    1.46735   28.9200    -57.91539
   0.0990    54381.6   3.1248    0.208400   1853.917    909.54     99.28   2282.72   2809594.0      31.03   593.364   0.00379738   0.00379999   1.3460275    1.46735   28.9200    -58.01397
   0.1000    54412.2   3.1238    0.208430   1853.678    909.92     99.27   2282.70   2806532.1      31.33   593.488   0.00379732   0.00379999   1.3459961    1.46735   28.9200    -57.82979
   0.1010    54442.7   3.1227    0.208460   1853.439    910.30     99.26   2282.69   2803477.1      31.64   593.611   0.00379726   0.00379999   1.3459648    1.46735   28.9200    -57.55177
   0.1020    54473.3   3.1217    0.208491   1853.200    910.68     99.26   2282.67   2800420.1      31.94   593.735   0.00379720   0.00379999   1.3459335    1.46735   28.9200    -57.62146
   0.1030    54504.0   3.1206    0.208521   1852.960    911.06     99.25   2282.66   2797372.7      32.25   593.859   0.00379714   0.00379999   1.3459021    1.46735   28.9200    -57.57704
   0.1040    54534.5   3.1196    0.208551   1852.721    911.44     99.24   2282.64   2794337.0      32.55   593.983   0.00379708   0.00379999   1.3458709    1.46735   28.9200    -57.24691
   0.1050    54565.1   3.1185    0.208581   1852.482    911.82     99.24   2282.63   2791299.8      32.86   594.107   0.00379702   0.00379999   1.3458396    1.46735   28.9200    -57.20588
   0.1060    54595.9   3.1174    0.208611   1852.243    912.20     99.23   2282.61   2788266.8      33.16   594.230   0.00379696   0.00379999   1.3458084    1.46735   28.9200    -57.28234
   0.1070    54626.4   3.1164    0.208641   1852.004    912.58     99.22   2282.59   2785248.1      33.46   594.354   0.00379690   0.00379999   1.3457772    1.46735   28.9200    -56.99453
   0.1080    54657.0   3.1153    0.208672   1851.764    912.96     99.22   2282.58   2782231.7      33.77   594.477   0.00379683   0.00379999   1.3457460    1.46735   28.9200    -56.80518
   0.1090    54687.7   3.1143    0.208702   1851.525    913.34     99.21   2282.56   2779214.4      34.07   594.601   0.00379678   0.00379999   1.3457148    1.46735   28.9200    -56.92942
   0.1100    54718.4   3.1132    0.208732   1851.286    913.72     99.20   2282.55   2776210.5      34.37   594.724   0.00379672   0.00379999   1.3456837    1.46735   28.9200    -56.76521
